contrast_threshold,octave_layers,ransac_threshold,lowe_ratio,edge_threshold,gaussian_blur,accuracy,true_positive_rate,false_positive_rate,false_negative_rate
0.02,4,1.0,0.7,10,1.0,0.3516483477840841,0.372093018929151,0.1351351314828343,0.6279069694429422
0.02,4,1.0,0.7,10,1.3,0.38888888456790127,0.40697673945375884,0.10256409993425386,0.5930232489183344
0.02,4,1.0,0.7,10,1.6,0.3586956482750473,0.3837209257706869,0.1538461499013808,0.6162790626014063
0.02,4,1.0,0.7,15,1.0,0.31521738787807185,0.33720929840454306,0.1714285665306124,0.6627906899675501
0.02,4,1.0,0.7,15,1.3,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,1.0,0.7,15,1.6,0.36559139391837214,0.39534883261222287,0.1707317031528853,0.6046511557598703
0.02,4,1.0,0.7,20,1.0,0.3260869529773157,0.34883720524607903,0.16666666203703717,0.6511627831260142
0.02,4,1.0,0.7,20,1.3,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,1.0,0.7,20,1.6,0.380434778473535,0.40697673945375884,0.14634145984533026,0.5930232489183344
0.02,4,1.0,0.75,10,1.0,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,1.0,0.75,10,1.3,0.37362636952058936,0.39534883261222287,0.12820512491781733,0.6046511557598703
0.02,4,1.0,0.75,10,1.6,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,1.0,0.75,15,1.0,0.38709677003121756,0.4186046462952948,0.16279069388858852,0.5813953420767983
0.02,4,1.0,0.75,15,1.3,0.41935483420048564,0.45348836681990273,0.1521739097353498,0.5465116215521905
0.02,4,1.0,0.75,15,1.6,0.3936170170891807,0.4302325531368308,0.1777777738271606,0.5697674352352624
0.02,4,1.0,0.75,20,1.0,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,1.0,0.75,20,1.3,0.3936170170891807,0.4302325531368308,0.1777777738271606,0.5697674352352624
0.02,4,1.0,0.75,20,1.6,0.37634408197479485,0.40697673945375884,0.1666666626984128,0.5930232489183344
0.02,4,1.0,0.8,10,1.0,0.4347826039697543,0.4651162736614387,0.13043477977315696,0.5348837147106545
0.02,4,1.0,0.8,10,1.3,0.42391303887051046,0.45348836681990273,0.13333333037037046,0.5465116215521905
0.02,4,1.0,0.8,10,1.6,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,4,1.0,0.8,15,1.0,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,4,1.0,0.8,15,1.3,0.43617020812584884,0.4767441805029747,0.16326530279050402,0.5232558078691185
0.02,4,1.0,0.8,15,1.6,0.42105262714681446,0.4651162736614387,0.18367346563931702,0.5348837147106545
0.02,4,1.0,0.8,20,1.0,0.42391303887051046,0.45348836681990273,0.13333333037037046,0.5465116215521905
0.02,4,1.0,0.8,20,1.3,0.44086021031333106,0.4767441805029747,0.14583333029513895,0.5232558078691185
0.02,4,1.0,0.8,20,1.6,0.43010752225690835,0.4651162736614387,0.14893616704391135,0.5348837147106545
0.02,4,2.0,0.7,10,1.0,0.3516483477840841,0.372093018929151,0.1351351314828343,0.6279069694429422
0.02,4,2.0,0.7,10,1.3,0.38888888456790127,0.40697673945375884,0.10256409993425386,0.5930232489183344
0.02,4,2.0,0.7,10,1.6,0.3440860178055267,0.372093018929151,0.17948717488494426,0.6279069694429422
0.02,4,2.0,0.7,15,1.0,0.32967032604757884,0.34883720524607903,0.14285713877551032,0.6511627831260142
0.02,4,2.0,0.7,15,1.3,0.4175824129935999,0.44186045997836676,0.11627906706327752,0.5581395283937264
0.02,4,2.0,0.7,15,1.6,0.380434778473535,0.40697673945375884,0.14634145984533026,0.5930232489183344
0.02,4,2.0,0.7,20,1.0,0.34065933691583145,0.360465112087615,0.1388888850308643,0.6395348762844782
0.02,4,2.0,0.7,20,1.3,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,2.0,0.7,20,1.6,0.3956043912570946,0.4186046462952948,0.12195121653777521,0.5813953420767983
0.02,4,2.0,0.75,10,1.0,0.38709677003121756,0.4186046462952948,0.16279069388858852,0.5813953420767983
0.02,4,2.0,0.75,10,1.3,0.36170212381167954,0.39534883261222287,0.1904761859410432,0.6046511557598703
0.02,4,2.0,0.75,10,1.6,0.37634408197479485,0.40697673945375884,0.1666666626984128,0.5930232489183344
0.02,4,2.0,0.75,15,1.0,0.37234042157084657,0.40697673945375884,0.18604650730124403,0.5930232489183344
0.02,4,2.0,0.75,15,1.3,0.39999999578947376,0.44186045997836676,0.19148935762788602,0.5581395283937264
0.02,4,2.0,0.75,15,1.6,0.408602146144063,0.44186045997836676,0.1555555520987655,0.5581395283937264
0.02,4,2.0,0.75,20,1.0,0.4065934021253472,0.4302325531368308,0.119047616213152,0.5697674352352624
0.02,4,2.0,0.75,20,1.3,0.38947368011080336,0.4302325531368308,0.19565216965973545,0.5697674352352624
0.02,4,2.0,0.75,20,1.6,0.3913043435727789,0.4186046462952948,0.1428571394557824,0.5813953420767983
0.02,4,2.0,0.8,10,1.0,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,4,2.0,0.8,10,1.3,0.4148936126075148,0.45348836681990273,0.1702127623358987,0.5465116215521905
0.02,4,2.0,0.8,10,1.6,0.38541666265190977,0.4302325531368308,0.21276595291987335,0.5697674352352624
0.02,4,2.0,0.8,15,1.0,0.4042553148483477,0.44186045997836676,0.17391303969754263,0.5581395283937264
0.02,4,2.0,0.8,15,1.3,0.4315789428254848,0.4767441805029747,0.17999999640000008,0.5232558078691185
0.02,4,2.0,0.8,15,1.6,0.4315789428254848,0.4767441805029747,0.17999999640000008,0.5232558078691185
0.02,4,2.0,0.8,20,1.0,0.408602146144063,0.44186045997836676,0.1555555520987655,0.5581395283937264
0.02,4,2.0,0.8,20,1.3,0.42105262714681446,0.4651162736614387,0.18367346563931702,0.5348837147106545
0.02,4,2.0,0.8,20,1.6,0.44086021031333106,0.4767441805029747,0.14583333029513895,0.5232558078691185
0.02,4,3.0,0.7,10,1.0,0.3516483477840841,0.372093018929151,0.1351351314828343,0.6279069694429422
0.02,4,3.0,0.7,10,1.3,0.38888888456790127,0.40697673945375884,0.10256409993425386,0.5930232489183344
0.02,4,3.0,0.7,10,1.6,0.35483870586194943,0.3837209257706869,0.17499999562500013,0.6162790626014063
